Epoch:121;steps:1210/50000;train_cost:3.373982048034668;val_cost:2.7858205
Epoch:122;steps:1220/50000;train_cost:2.9466017723083495;val_cost:2.9669123
Epoch:123;steps:1230/50000;train_cost:2.8479498624801636;val_cost:2.9722822
Epoch:124;steps:1240/50000;train_cost:3.1427460670471192;val_cost:3.0722566
Epoch:125;steps:1250/50000;train_cost:3.116457486152649;val_cost:3.554498
Epoch:126;steps:1260/50000;train_cost:3.0625160455703737;val_cost:3.2639723
Epoch:127;steps:1270/50000;train_cost:3.072468662261963;val_cost:3.2416143
Epoch:128;steps:1280/50000;train_cost:2.853484535217285;val_cost:3.014308
Epoch:129;steps:1290/50000;train_cost:3.260349225997925;val_cost:2.9639206
Epoch:130;steps:1300/50000;train_cost:2.8730106115341187;val_cost:3.4314833
len(original_list) 32 len(detected_list) 7  test and detect length desn't match
Epoch:131;steps:1310/50000;train_cost:3.0474650621414185;val_cost:3.977147
Epoch:132;steps:1320/50000;train_cost:3.2846134901046753;val_cost:2.5398464
Epoch:133;steps:1330/50000;train_cost:2.8586847305297853;val_cost:2.9197512
Epoch:134;steps:1340/50000;train_cost:3.1182117223739625;val_cost:3.394557
Epoch:135;steps:1350/50000;train_cost:2.9643490076065064;val_cost:2.5824797
Epoch:136;steps:1360/50000;train_cost:2.866406297683716;val_cost:3.011427
Epoch:137;steps:1370/50000;train_cost:2.8889821052551268;val_cost:3.0128078
Epoch:138;steps:1380/50000;train_cost:2.9120640754699707;val_cost:3.5692046
Epoch:139;steps:1390/50000;train_cost:3.285950183868408;val_cost:3.4179058
Epoch:140;steps:1400/50000;train_cost:3.1507272481918336;val_cost:2.9743996
len(original_list) 32 len(detected_list) 8  test and detect length desn't match
Epoch:141;steps:1410/50000;train_cost:2.877873921394348;val_cost:2.618242
Epoch:142;steps:1420/50000;train_cost:3.051582384109497;val_cost:2.527287
Epoch:143;steps:1430/50000;train_cost:2.8059390068054197;val_cost:3.1208467
Epoch:144;steps:1440/50000;train_cost:2.9775509595870973;val_cost:2.9091225
Epoch:145;steps:1450/50000;train_cost:2.8531693696975706;val_cost:2.7975874
Epoch:146;steps:1460/50000;train_cost:3.0265087604522707;val_cost:3.1594896
Epoch:147;steps:1470/50000;train_cost:2.9477235317230224;val_cost:3.270287
Epoch:148;steps:1480/50000;train_cost:3.1489015102386473;val_cost:2.3733296
Epoch:149;steps:1490/50000;train_cost:3.0433289051055907;val_cost:2.8253949
Epoch:150;steps:1500/50000;train_cost:2.8363982439041138;val_cost:2.9607944
len(original_list) 32 len(detected_list) 11  test and detect length desn't match
Epoch:151;steps:1510/50000;train_cost:2.814275312423706;val_cost:3.1343713
Epoch:152;steps:1520/50000;train_cost:2.8863336563110353;val_cost:3.475437
Epoch:153;steps:1530/50000;train_cost:2.7994295835494993;val_cost:2.890974
Epoch:154;steps:1540/50000;train_cost:2.7011318445205688;val_cost:2.780351
Epoch:155;steps:1550/50000;train_cost:2.852807807922363;val_cost:3.1914573
Epoch:156;steps:1560/50000;train_cost:2.8168620586395265;val_cost:3.36497
Epoch:157;steps:1570/50000;train_cost:2.9854737281799317;val_cost:2.82057
Epoch:158;steps:1580/50000;train_cost:2.9054123163223267;val_cost:2.7133145
Epoch:159;steps:1590/50000;train_cost:3.1224122524261473;val_cost:3.1019697
Epoch:160;steps:1600/50000;train_cost:3.0025059461593626;val_cost:3.6596403
len(original_list) 32 len(detected_list) 6  test and detect length desn't match
Epoch:161;steps:1610/50000;train_cost:3.111836385726929;val_cost:2.8571072
Epoch:162;steps:1620/50000;train_cost:2.947873854637146;val_cost:2.9702382
Epoch:163;steps:1630/50000;train_cost:2.835146355628967;val_cost:2.3297417
Epoch:164;steps:1640/50000;train_cost:2.816016149520874;val_cost:2.8427472
Epoch:165;steps:1650/50000;train_cost:2.8353034973144533;val_cost:2.54125
Epoch:166;steps:1660/50000;train_cost:2.926847958564758;val_cost:3.0625067
